player_id,player_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,rec_yards,rec_tds,fumbles,receiving_fumbles_lost,air_yards,yac,rec_first_downs,rec_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr,player_name_norm,name_key,catch_rate,yards_per_reception,yards_per_target,targets_per_game
00-0022054,Visanthe Shiancoe,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bjsxsxconihfsvqn4osy",2012,REG,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,1,0,0,0,0,13,0,0,-3.280641940305941,0,0.0,0.0015772870662460567,0.002350388718134153,0.004011202702062992,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,visanthe shiancoe,v.shiancoe,0.0,,0.0,1.0
00-0022084,Anquan Boldin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ajabgwxbliupgkwjbnut",2012,REG,BAL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,3,0,0,0,0,-0.15732251899316907,0,65,112,921,4,0,0,1206,237,45,21.714355805425253,1,0.763681592039801,0.2014388489208633,0.21935249181520552,0.4557050176519388,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,95,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,118.4,183.4,anquan boldin,a.boldin,0.5803571428571429,14.169230769230769,8.223214285714286,7.466666666666667
00-0022097,Brandon Lloyd,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ljx2jldvqmlkncplteve",2012,REG,NE,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,74,130,911,4,0,0,1740,168,50,38.34446139442915,0,0.5235632183908046,0.20504731861198738,0.31459048996564815,0.5277843208939348,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,115.10000000000001,189.10000000000002,brandon lloyd,b.lloyd,0.5692307692307692,12.31081081081081,7.007692307692308,8.125
00-0022127,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",2012,REG,DAL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,110,149,1039,3,0,0,1191,313,56,38.29668663090952,0,0.8723761544920235,0.22923076923076924,0.20598408855067452,0.488035015831626,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,121.9,231.9,jason witten,j.witten,0.738255033557047,9.445454545454545,6.973154362416107,9.3125
00-0022165,Dallas Clark,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oqhmamvx6w1aetfoalpw",2012,REG,TB,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,47,75,435,4,0,0,575,111,23,-8.657936217818992,0,0.7565217391304347,0.13416815742397137,0.10123239436619719,0.2721149121922951,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,67.5,114.5,dallas clark,d.clark,0.6266666666666667,9.25531914893617,5.8,4.6875
00-0022178,Willis McGahee,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nlr34yjuurydinlwlt0z",2012,REG,DEN,10,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,167,731,4,5,4,44,-10.622282373154897,0,26,33,221,0,0,0,-30,234,10,7.891502513061903,1,-7.366666666666666,0.05650684931506849,-0.006141248720573183,0.0804613998682015,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,15,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,113.2,139.2,willis mcgahee,w.mcgahee,0.7878787878787878,8.5,6.696969696969697,3.3
00-0022217,Mewelde Moore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aqabtnjtucqtwb99mb3o",2012,REG,IND,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,13,20,0,1,1,1,-10.204679869755637,0,6,8,77,1,0,0,61,44,4,4.985187217455084,0,1.2622950819672132,0.012944983818770227,0.009556634811217296,0.02610712009600745,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,3,50,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,13.700000000000001,19.700000000000003,mewelde moore,m.moore,0.75,12.833333333333334,9.625,0.8888888888888888
00-0022388,Terrance Copper,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/favudbaummnv3ra1rbhy",2012,REG,KC,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,1,0,0,0,0,-0.6160190117079765,0,8,12,79,0,0,0,127,16,3,-0.37671398376034215,0,0.6220472440944882,0.02575107296137339,0.03240622607808114,0.061310967696716887,0,4,0,1,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,8.0,16.0,terrance copper,t.copper,0.6666666666666666,9.875,6.583333333333333,1.3333333333333333
00-0022397,Vonta Leach,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n9zjncpra3ifhujp6fum",2012,REG,BAL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,9,32,1,0,0,3,2.237421351019293,0,21,24,143,0,0,0,11,130,7,3.01236744018388,0,13.0,0.04316546762589928,0.002000727537286286,0.06614871071494932,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,23.5,44.5,vonta leach,v.leach,0.875,6.809523809523809,5.958333333333333,1.7142857142857142
00-0022405,Lousaka Polite,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sap0k6ihraeup9y3vd9c",2012,REG,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,1,7,8,0,0,0,8,10,0,-2.8390118030365556,0,1.0,0.011456628477905073,0.0015987210231814548,0.018304047433084628,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.8,1.8,lousaka polite,l.polite,0.14285714285714285,8.0,1.1428571428571428,1.4
00-0022414,Malcom Floyd,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/or8gm79eaonksxe8gl0t",2012,REG,LAC,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,56,85,814,5,0,0,1237,98,47,46.77350610056683,0,0.6580436540016168,0.16569200779727095,0.3122948750315577,0.4671444242179968,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,111.4,167.4,malcom floyd,m.floyd,0.6588235294117647,14.535714285714286,9.576470588235294,6.071428571428571
