player_id,player_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,rush_attempts,rush_yards,rush_tds,fumbles,rushing_fumbles_lost,rush_first_downs,rush_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr,player_name_norm,name_key,yards_per_carry,games_missed
00-0022409,Jordan Babineaux,S,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksrfbo6q7h3wc5vdo9gx",2012,REG,TEN,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,10,0,0,0,1,2.803524390794337,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,63,3,30,0,0,0,0.0,0.0,2,1,10,7,0,0,0,42,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,1.0,1.0,jordan babineaux,j.babineaux,10.0,0
00-0022427,Wes Welker,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rgjwexzif36vncjfdwap",2012,REG,NE,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,2,20,0,0,0,2,1.6797737248707563,0,118,175,1354,6,2,1,1347,687,73,55.588955676263645,0,1.0051967334818115,0.27602523659305994,0.2435364310251311,0.5845133566071816,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,243,3,33,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,171.4,289.4,wes welker,w.welker,10.0,0
00-0022736,Steven Jackson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/abl5wejuf448xw3jtphm",2012,REG,LA,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,258,1045,4,0,0,48,-21.490950570718464,0,38,53,321,0,0,0,75,280,13,7.7165834384959755,1,4.28,0.09724770642201835,0.016361256544502618,0.15732443921417935,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,162.6,200.6,steven jackson,s.jackson,4.050387596899225,0
00-0022787,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",2012,REG,HOU,16,350,544,4008,22,12,27,-216,3,0,4351,1758,202,84.80408646627983,0.36592040632562867,0,0.9211675476901862,21,-9,0,1,0,1,-14.889311537204776,0,1,1,-6,0,0,0,-6,0,0,-1.4823843706399202,0,0.0,0.0018214936247723133,-0.0013590033975084937,0.0017809380589025245,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,15,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,222.82,223.82,matt schaub,m.schaub,-0.42857142857142855,0
00-0022803,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",2012,REG,NYG,16,321,536,3948,26,15,19,-136,3,1,5122,1389,186,57.48117236682826,0.7349034739752948,0,0.7707926591175323,20,30,0,1,0,3,-6.477754332140908,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,35,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,232.92000000000002,232.92000000000002,eli manning,e.manning,1.5,0
00-0022821,Michael Turner,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mdaldbfqcpsnwhilwldj",2012,REG,ATL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,222,800,10,3,1,40,-32.51177971533478,0,19,30,128,1,0,0,14,145,2,-4.788440097356215,0,9.142857142857142,0.049099836333878884,0.002797761790567546,0.07560818775421561,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,156.8,175.8,michael turner,m.turner,3.6036036036036037,0
00-0022864,Luke McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pj2lbdhplppzlywlzsbr",2012,REG,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,2,-3,0,0,0,0,-5.198802259517834,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,-0.30000000000000004,-0.30000000000000004,luke mccown,l.mccown,-1.5,15
00-0022897,Greg Jones,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksydsc7chyysjq0p0htj",2012,REG,JAX,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,5,8,0,0,0,3,0.19694607857610347,0,11,14,64,0,0,0,27,50,1,0.5082461425918154,0,2.3703703703703702,0.02413793103448276,0.005404323458767014,0.03998992297286105,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,7.2,18.2,greg jones,g.jones,1.6,7
00-0022924,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",2012,REG,PIT,13,284,449,3265,26,8,30,-182,3,2,3704,1474,168,68.05983736201597,2.4679416935193483,1,0.8814794816414687,26,92,0,1,1,7,-8.10159814956216,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,20,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,223.79999999999998,223.79999999999998,ben roethlisberger,b.roethlisberger,3.5384615384615383,3
00-0022929,Devery Henderson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtheywtlw7yhso1da4bu",2012,REG,NO,15,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,13,0,0,0,1,1.119909022236243,0,22,47,316,1,1,0,747,79,10,-10.59022464471646,0,0.42302543507362783,0.0717557251908397,0.13648821487301296,0.2031753381973686,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,38.9,60.9,devery henderson,d.henderson,13.0,1
